"Timestamp","Lot","Model1","Model2","Model3","time","diff"
"2016-04-10T08:25:00","BHMBCCMKT01","10.01","10.27","11.27","1752083145698","1"
"2016-04-10T09:32:00","BHMBCCMKT01","10.01","10.34","11.34","1752083145698","1"
"2016-04-10T10:26:00","BHMBCCMKT01","10.02","10.41","11.41","1752083145698","1"
"2016-04-10T08:59:00","BHMBCCMKT01","10.01","10.33","11.33","1752083145698","1"
"2016-04-10T07:59:00","BHMBCCMKT01","10.01","10.27","11.27","1752083145698","1"
"2016-04-10T09:59:00","BHMBCCMKT01","10.01","10.25","11.25","1752083145698","1"
"2016-04-10T11:25:00","BHMBCCMKT01","10.02","10.54","11.54","1752083145698","1"
"2016-04-10T11:59:00","BHMBCCMKT01","10.02","10.54","11.54","1752083145698","1"
"2016-04-10T10:59:00","BHMBCCMKT01","10.02","10.62","11.62","1752083145698","1"
"2016-04-10T12:29:00","BHMBCCMKT01","10.02","10.55","11.55","1752083145698","1"
"2016-04-10T13:29:00","BHMBCCMKT01","10.02","10.59","11.59","1752083145700","1"
"2016-04-10T13:02:00","BHMBCCMKT01","10.02","10.59","11.59","1752083145700","1"
"2016-04-10T14:02:00","BHMBCCMKT01","10.02","10.46","11.46","1752083145702","1"
"2016-04-10T14:29:00","BHMBCCMKT01","10.02","10.52","11.52","1752083145704","1"
"2016-04-10T14:57:00","BHMBCCMKT01","10.02","10.31","11.31","1752083145706","1"
"2016-04-10T15:30:00","BHMBCCMKT01","10.01","10.35","11.35","1752083145708","1"
"2016-04-10T16:04:00","BHMBCCMKT01","10.01","10.19","11.19","1752083145710","1"
"2016-04-10T16:31:00","BHMBCCMKT01","10.01","10.34","11.34","1752083145714","1"
"2016-05-10T07:57:00","BHMBCCMKT01","10.0","10.27","11.27","1752083145718","1"
"2016-05-10T08:30:00","BHMBCCMKT01","10.01","10.27","11.27","1752083145718","1"
"2016-05-10T09:04:00","BHMBCCMKT01","10.01","10.33","11.33","1752083145720","1"
"2016-05-10T09:30:00","BHMBCCMKT01","10.01","10.33","11.33","1752083145722","1"
"2016-05-10T10:04:00","BHMBCCMKT01","10.01","10.4","11.4","1752083145724","1"
"2016-05-10T10:30:00","BHMBCCMKT01","10.01","10.48","11.48","1752083145726","1"
"2016-05-10T11:04:00","BHMBCCMKT01","10.01","10.37","11.37","1752083145728","1"
"2016-05-10T11:30:00","BHMBCCMKT01","10.01","10.47","11.47","1752083145730","1"
"2016-05-10T12:04:00","BHMBCCMKT01","10.02","10.51","11.51","1752083145734","1"
"2016-05-10T12:30:00","BHMBCCMKT01","10.02","10.57","11.57","1752083145736","1"
"2016-05-10T12:57:00","BHMBCCMKT01","10.02","10.57","11.57","1752083145738","1"
"2016-05-10T13:30:00","BHMBCCMKT01","10.02","10.61","11.61","1752083145740","1"
"2016-05-10T13:57:00","BHMBCCMKT01","10.02","10.47","11.47","1752083145742","1"
"2016-05-10T14:30:00","BHMBCCMKT01","10.01","10.45","11.45","1752083145744","1"
"2016-05-10T14:57:00","BHMBCCMKT01","10.01","10.41","11.41","1752083145746","1"
"2016-05-10T15:30:00","BHMBCCMKT01","10.01","10.34","11.34","1752083145750","1"
"2016-05-10T16:04:00","BHMBCCMKT01","10.01","10.34","11.34","1752083145752","1"
"2016-05-10T16:30:00","BHMBCCMKT01","10.01","10.18","11.18","1752083145754","1"
"2016-06-10T07:57:00","BHMBCCMKT01","10.01","10.27","11.27","1752083145756","1"
"2016-06-10T08:30:00","BHMBCCMKT01","10.01","10.27","11.27","1752083145758","1"
"2016-06-10T08:57:00","BHMBCCMKT01","10.01","10.27","11.27","1752083145760","1"
"2016-06-10T09:30:00","BHMBCCMKT01","10.01","10.34","11.34","1752083145762","1"
"2016-06-10T10:03:00","BHMBCCMKT01","10.01","10.4","11.4","1752083145764","1"
"2016-06-10T10:30:00","BHMBCCMKT01","10.01","10.41","11.41","1752083145768","1"
"2016-06-10T10:57:00","BHMBCCMKT01","10.02","10.41","11.41","1752083145770","1"
"2016-06-10T11:30:00","BHMBCCMKT01","10.02","10.47","11.47","1752083145772","1"
"2016-06-10T12:04:00","BHMBCCMKT01","10.02","10.57","11.57","1752083145774","1"
"2016-06-10T12:30:00","BHMBCCMKT01","10.02","10.58","11.58","1752083145776","1"
"2016-06-10T12:57:00","BHMBCCMKT01","10.02","10.53","11.53","1752083145778","1"
"2016-06-10T13:30:00","BHMBCCMKT01","10.02","10.48","11.48","1752083145780","1"
"2016-06-10T13:57:00","BHMBCCMKT01","10.02","10.53","11.53","1752083145782","1"
"2016-06-10T14:30:00","BHMBCCMKT01","10.02","10.41","11.41","1752083145786","1"
"2016-06-10T15:04:00","BHMBCCMKT01","10.01","10.35","11.35","1752083145788","1"
"2016-06-10T15:31:00","BHMBCCMKT01","10.01","10.25","11.25","1752083145790","1"
"2016-06-10T16:04:00","BHMBCCMKT01","10.01","10.18","11.18","1752083145792","1"
"2016-06-10T16:30:00","BHMBCCMKT01","10.01","10.34","11.34","1752083145794","1"
"2016-07-10T08:03:00","BHMBCCMKT01","10.01","10.33","11.33","1752083145796","1"
"2016-07-10T08:30:00","BHMBCCMKT01","10.01","10.33","11.33","1752083145798","1"
"2016-07-10T09:04:00","BHMBCCMKT01","10.01","10.27","11.27","1752083145802","1"
"2016-07-10T09:30:00","BHMBCCMKT01","10.01","10.34","11.34","1752083145804","1"
"2016-07-10T09:57:00","BHMBCCMKT01","10.01","10.24","11.24","1752083145806","1"
"2016-07-10T10:30:00","BHMBCCMKT01","10.01","10.55","11.55","1752083145808","1"
"2016-07-10T10:57:00","BHMBCCMKT01","10.02","10.41","11.41","1752083145810","1"
"2016-07-10T11:30:00","BHMBCCMKT01","10.02","10.37","11.37","1752083145812","1"
"2016-07-10T12:03:00","BHMBCCMKT01","10.02","10.58","11.58","1752083145814","1"
"2016-07-10T12:30:00","BHMBCCMKT01","10.02","10.48","11.48","1752083145818","1"
"2016-07-10T13:04:00","BHMBCCMKT01","10.02","10.57","11.57","1752083145820","1"
